Rend Ask al vencimiento,Rend Bid al vencimiento,Nombre,Ticker,Cupón,Vencimiento,Tipo de vencimiento,País/región,Divisa,Identificador,Ráting Composite Bloomberg,Ask,Fuente
11.30475742,11.35451357,Mexico Cetes,MCET,0,4/4/2024,AT MATURITY,MX,MXN,ZK0007011,#N/A N/A,9.264,BVAL
11.54031718,11.58163607,Mexico Cetes,MCET,0,2/8/2024,AT MATURITY,MX,MXN,ZM8692497,#N/A N/A,9.406,BGN
11.20090895,11.2160601,Mexico Cetes,MCET,0,5/2/2024,AT MATURITY,MX,MXN,ZK4539159,#N/A N/A,9.196,BGN
11.25570531,11.29775025,Mexico Cetes,MCET,0,5/30/2024,AT MATURITY,MX,MXN,ZK8168203,#N/A N/A,9.119,BGN
11.29623471,11.32554064,Mexico Cetes,MCET,0,11/28/2024,AT MATURITY,MX,MXN,ZN7552617,BBB-,8.665,BGN
11.41807422,11.41807422,Mexico Cetes,MCET,0,11/16/2023,AT MATURITY,MX,MXN,ZN3543164,#N/A N/A,9.654,BGN
11.93046661,12.00488003,Mexico Cetes,MCET,0,9/14/2023,AT MATURITY,MX,MXN,ZK9498898,#N/A N/A,9.837,BGN
11.39796465,11.45306472,Mexico Cetes,MCET,0,3/7/2024,AT MATURITY,MX,MXN,ZL4311318,#N/A N/A,9.335,BGN
11.38104044,11.44238993,Mexico Cetes,MCET,0,11/30/2023,AT MATURITY,MX,MXN,ZK8168195,#N/A N/A,9.614,BGN
11.51747828,11.55655661,Mexico Cetes,MCET,0,11/1/2023,AT MATURITY,MX,MXN,ZK4539126,#N/A N/A,9.696,BGN
12.14574899,12.24820326,Mexico Cetes,MCET,0,8/31/2023,AT MATURITY,MX,MXN,ZK8168211,#N/A N/A,9.88,BGN
10.90038261,10.97950705,Mexico Cetes,MCET,0,2/6/2025,AT MATURITY,MX,MXN,ZL4358723,BBB-,8.548,BGN
11.16021748,11.24602094,Mexico Cetes,MCET,0,7/25/2024,AT MATURITY,MX,MXN,ZJ9757734,#N/A N/A,8.986,BVAL
11.55660597,11.64527975,Mexico Cetes,MCET,0,1/25/2024,AT MATURITY,MX,MXN,ZJ9757684,#N/A N/A,9.448,BVAL
11.73126709,11.81516732,Mexico Cetes,MCET,0,10/26/2023,AT MATURITY,MX,MXN,ZJ9757718,#N/A N/A,9.712,BVAL
11.34930643,11.44622952,Mexico Cetes,MCET,0,10/12/2023,AT MATURITY,MX,MXN,ZJ7042188,#N/A N/A,9.76,BVAL
11.65924752,11.68486639,Mexico Cetes,MCET,0,12/28/2023,AT MATURITY,MX,MXN,ZJ1207571,#N/A N/A,9.522,BGN
11.35731317,11.40963513,Mexico Cetes,MCET,0,6/27/2024,AT MATURITY,MX,MXN,ZJ1207662,#N/A N/A,9.039,BGN
,,,,,,,,,,,,
